pl_name,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype
WASP-123 b,Transit,2016.0,2.97764120000,14.77346200,285.72917000,1520.00,G5
WASP-91 b,Transit,2017.0,2.79858100000,11.54527000,425.89220000,1160.00,K3
LHS 1140 c,Transit,2018.0,3.77794000000,1.27200000,1.91000000,422.00,M4.5 V
WASP-165 b,Transit,2018.0,3.46550900000,14.12334000,209.13214000,1624.00,G6
TOI-837 b,Transit,2020.0,8.32491130000,9.16894621,120.45696625,995.30,F9/G0
K2-417 b,Transit,2023.0,6.53500000000,3.31000000,699.22249540,558.00,M V
TOI-6008 b,Transit,2024.0,0.85743470000,1.03000000,4.00000000,707.00,M5.0
TOI-4010 b,Transit,2023.0,1.34833500000,3.02000000,11.00000000,1441.00,K V
Wolf 327 b,Transit,2024.0,0.57347450000,1.24000000,2.53000000,996.00,M2.5 V
TOI-1117 b,Transit,2025.0,2.22816000000,2.46000000,8.90000000,1538.00,G5 V
EPIC 246851721 b,Transit,2018.0,6.18023500000,11.78065900,953.49000000,1401.00,F5 V
L 98-59 c,Transit,2019.0,3.69067770000,1.38500000,2.22000000,553.00,M3 V
Wendelstein-2 b,Transit,2020.0,1.75222390000,12.99347280,232.33373000,2470.00,K6 V
TOI-286 b,Transit,2024.0,4.51172440000,1.42000000,4.53000000,979.00,K3 V
NGTS-5 b,Transit,2019.0,3.35698660000,12.73342400,72.78307000,952.00,K2 V
WASP-133 b,Transit,2016.0,2.17642300000,13.56289000,368.68280000,1790.00,G4
HD 23472 c,Transit,2019.0,29.79749000000,1.87000000,3.41000000,467.00,K4 V
GJ 9827 d,Transit,2017.0,6.20142000000,2.04000000,2.35000000,646.00,K6 V
WASP-181 b,Transit,2019.0,4.51950640000,13.27145600,95.03117000,1186.00,G2
HD 28109 b,Transit,2022.0,22.89104000000,2.19900000,18.49600000,881.20,F8/G0 V
TOI-1266 b,Transit,2020.0,10.89450000000,2.52000000,4.46000000,415.00,M2
Wendelstein-1 b,Transit,2020.0,2.66341600000,11.56096260,188.15536000,2198.00,K7 V
TOI-2095 b,Transit,2023.0,17.66484000000,1.25000000,4.10000000,347.00,M2.5 V
WASP-183 b,Transit,2019.0,4.11177710000,16.47723000,159.55066000,1111.00,G9
GJ 9827 d,Transit,2017.0,6.20183000000,1.98000000,3.02000000,675.00,K7 V
KELT-16 b,Transit,2017.0,0.96899510000,15.86073500,874.03250000,2453.00,F7 V
WASP-92 b,Transit,2016.0,2.17467420000,16.37634900,255.85315000,1871.00,F7
WASP-76 b,Transit,2016.0,1.80988198000,20.78145022,284.13859586,2228.00,F7
HD 206893 b,Imaging,2021.0,9350.00000000000,14.01122587,8899.19539600,1429.20,F5 V
HD 183579 b,Transit,2021.0,17.47127500000,3.53000000,11.20000000,748.00,G2 V
HD 191939 c,Transit,2020.0,28.58050000000,3.08000000,7.20000000,605.00,G9 V
TOI-201 b,Transit,2021.0,52.97818000000,11.29867200,133.48860000,759.00,F6 V
WASP-153 b,Transit,2017.0,3.33260900000,17.37395000,123.95370000,1700.00,G0
HD 206893 c,Imaging,2022.0,2090.00000000000,16.36511182,4036.42076890,1181.90,F5 V
BD+20 594 b,Transit,2016.0,41.68550000000,2.23000000,16.30000000,546.00,G
EPIC 249893012 c,Transit,2020.0,15.62400000000,3.67000000,14.67000000,990.00,G8 IV/V
HD 95338 b,Radial Velocity,2020.0,55.08700000000,3.89000000,42.44000000,385.00,K0.5 V
K2-157 b,Transit,2018.0,0.36525750000,0.93500000,1.14000000,2432.00,G9 V
TOI-5076 b,Transit,2024.0,23.44500000000,3.20000000,16.00000000,615.00,K2 V
TOI-1853 b,Transit,2023.0,1.24362580000,3.46000000,73.20000000,1479.00,K2.5 V
K2-285 e,Transit,2018.0,14.76289000000,1.95000000,10.70000000,500.90,K2 V
WASP-140 b,Transit,2016.0,2.23598350000,16.14096000,775.50520000,1320.00,K0
HATS-36 b,Transit,2018.0,4.17523870000,13.84311500,1022.14128000,1356.00,G0 V
TOI-836 c,Transit,2023.0,8.59545000000,2.58700000,9.60000000,665.00,K V
GJ 367 b,Transit,2021.0,0.32196200000,0.71800000,0.54600000,1745.00,M1.0 V
HD 110067 e,Transit,2023.0,30.79309100000,1.94000000,3.90000000,533.00,K0.0 V
HD 15337 b,Transit,2019.0,4.75615000000,1.64000000,7.51000000,1001.00,K1 V
K2-24 c,Transit,2016.0,42.36330000000,7.82000000,27.00000000,606.00,G3
WASP-175 b,Transit,2019.0,3.06529070000,13.54047200,314.65170000,1571.00,F7
HAT-P-68 b,Transit,2020.0,2.29840551000,12.01604800,230.10892000,1027.80,K
